"date","province","retail_and_recreation","grocery_and_pharmacy","park","transit","workplace","resident"
"2022-07-13",Bali,-10,5,15,-29,-18,13
"2022-07-14",Bali,-8,5,19,-31,-13,11
"2022-07-15",Bali,-10,3,10,-37,-11,13
"2022-07-16",Bali,-11,3,-7,-33,-9,12
"2022-07-17",Bali,-11,6,0,-37,-7,12
"2022-07-18",Bali,-10,5,6,-31,-11,12
"2022-07-19",Bali,-9,4,8,-30,-10,15
"2022-07-20",Bali,-9,7,9,-27,-9,13
"2022-07-21",Bali,-11,2,6,-30,-7,13
"2022-07-22",Bali,-12,1,1,-35,-5,13
"2022-07-23",Bali,-9,4,-3,-32,-6,11
"2022-07-24",Bali,-13,3,1,-36,-7,13
"2022-07-25",Bali,-11,7,0,-32,-7,13
"2022-07-26",Bali,-10,5,4,-30,-10,13
"2022-07-27",Bali,-7,8,7,-30,-7,13
"2022-07-28",Bali,-6,8,11,-29,-8,11
"2022-01-01",Bangka Belitung Islands,-2,7,55,-15,-53,0
"2022-01-02",Bangka Belitung Islands,16,37,55,-6,-18,-3
"2022-01-03",Bangka Belitung Islands,16,36,30,1,-18,-5
"2022-01-04",Bangka Belitung Islands,8,27,19,6,-20,-5
"2022-01-05",Bangka Belitung Islands,7,28,23,3,-17,-5
"2022-01-06",Bangka Belitung Islands,10,34,20,-2,-14,-3
"2022-01-07",Bangka Belitung Islands,5,33,10,-6,-11,-3
"2022-01-08",Bangka Belitung Islands,4,23,15,11,-11,-3
"2022-01-09",Bangka Belitung Islands,7,26,20,-3,-13,-2
"2022-01-10",Bangka Belitung Islands,-11,6,-11,-4,-8,-3
"2022-01-11",Bangka Belitung Islands,7,28,11,4,-8,-5
"2022-01-12",Bangka Belitung Islands,6,25,24,3,-5,-5
"2022-01-13",Bangka Belitung Islands,9,31,18,-6,-2,-4
"2022-01-14",Bangka Belitung Islands,5,30,15,-10,1,-4
"2022-01-15",Bangka Belitung Islands,4,23,24,0,-6,-2
"2022-01-16",Bangka Belitung Islands,7,28,32,-4,-9,1
"2022-01-17",Bangka Belitung Islands,3,24,20,-4,-5,-6
"2022-01-18",Bangka Belitung Islands,4,22,14,-2,-5,-5
"2022-01-19",Bangka Belitung Islands,-1,22,7,-1,-1,-1
"2022-01-20",Bangka Belitung Islands,12,36,20,-8,1,-2
"2022-01-21",Bangka Belitung Islands,6,34,17,-14,5,-2
"2022-01-22",Bangka Belitung Islands,5,26,22,0,-3,0
"2022-01-23",Bangka Belitung Islands,8,31,33,-12,-6,2
"2022-01-24",Bangka Belitung Islands,9,29,24,-12,0,-2
"2022-01-25",Bangka Belitung Islands,12,32,27,1,-1,-3
"2022-01-26",Bangka Belitung Islands,9,31,28,-3,0,-3
"2022-01-27",Bangka Belitung Islands,15,38,29,1,3,-3
"2022-01-28",Bangka Belitung Islands,10,37,21,1,6,-2
"2022-01-29",Bangka Belitung Islands,8,30,26,16,-2,0
"2022-01-30",Bangka Belitung Islands,13,40,38,-3,-3,1
"2022-01-31",Bangka Belitung Islands,15,37,33,3,-8,-2
"2022-02-01",Bangka Belitung Islands,22,37,97,19,-64,5
"2022-02-02",Bangka Belitung Islands,16,34,57,10,-10,-3
"2022-02-03",Bangka Belitung Islands,19,41,49,10,-7,-2
"2022-02-04",Bangka Belitung Islands,15,42,33,-1,2,-2
"2022-02-05",Bangka Belitung Islands,5,25,15,19,-6,2
"2022-02-06",Bangka Belitung Islands,9,32,26,1,-8,3
"2022-02-07",Bangka Belitung Islands,15,39,27,9,0,-2
